district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Greenslopes,33,153,"Kaye, Ian",Kaye,Ian,LNP,1,12607
Greenslopes,33,155,"Kelly, Joseph",Kelly,Joseph,ALP,3,14947
Greenslopes,33,998,Exhausted,Exhausted,Exhausted,EXH,998,914
Gregory,34,159,"Millar, Lachlan",Millar,Lachlan,LNP,3,12342
Gregory,34,162,"Thompson, Cheryl",Thompson,Cheryl,ALP,6,7866
Gregory,34,998,Exhausted,Exhausted,Exhausted,EXH,998,3479
Gympie,35,163,"Meredith, Stephen",Meredith,Stephen,ALP,1,10394
Gympie,35,167,"Perrett, Tony",Perrett,Tony,LNP,5,13833
Gympie,35,998,Exhausted,Exhausted,Exhausted,EXH,998,5712
Hervey Bay,36,168,"Gubbins, Tony",Gubbins,Tony,ALP,1,12517
Hervey Bay,36,173,"Sorensen, Ted",Sorensen,Ted,LNP,6,16334
Hervey Bay,36,998,Exhausted,Exhausted,Exhausted,EXH,998,3084
Hinchinbrook,37,176,"Cripps, Andrew",Cripps,Andrew,LNP,3,14354
Hinchinbrook,37,177,"Trecco-Alexander, Jesse",Trecco-Alexander,Jesse,ALP,4,10804
Hinchinbrook,37,998,Exhausted,Exhausted,Exhausted,EXH,998,4731
Inala,38,180,"Palaszczuk, Annastacia",Palaszczuk,Annastacia,ALP,1,20271
Inala,38,182,"Hannant, Adam",Hannant,Adam,LNP,3,6715
Inala,38,998,Exhausted,Exhausted,Exhausted,EXH,998,643
Indooroopilly,39,185,"Horacek, Chris",Horacek,Chris,ALP,3,10763
Indooroopilly,39,186,"Emerson, Scott",Emerson,Scott,LNP,4,14111
Indooroopilly,39,998,Exhausted,Exhausted,Exhausted,EXH,998,1610
Ipswich,40,190,"Berry, Ian",Berry,Ian,LNP,2,9581
Ipswich,40,192,"Howard, Jennifer",Howard,Jennifer,ALP,4,18517
Ipswich,40,998,Exhausted,Exhausted,Exhausted,EXH,998,1782
Ipswich West,41,194,"Madden, Jim",Madden,Jim,ALP,1,16376
Ipswich West,41,195,"Choat, Sean",Choat,Sean,LNP,2,11998
Ipswich West,41,998,Exhausted,Exhausted,Exhausted,EXH,998,2345
Kallangur,42,199,"King, Shane",King,Shane,ALP,1,16196
Kallangur,42,201,"Ruthenberg, Trevor",Ruthenberg,Trevor,LNP,3,12657
Kallangur,42,998,Exhausted,Exhausted,Exhausted,EXH,998,833
Kawana,43,203,"Bleijie, Jarrod",Bleijie,Jarrod,LNP,2,16991
Kawana,43,207,"Moss, Mark",Moss,Mark,ALP,6,11285
Kawana,43,998,Exhausted,Exhausted,Exhausted,EXH,998,3294
Keppel,44,208,"Lauga, Brittany",Lauga,Brittany,ALP,1,16465
Keppel,44,209,"Young, Bruce",Young,Bruce,LNP,2,13583
Keppel,44,998,Exhausted,Exhausted,Exhausted,EXH,998,2372
Lockyer,45,214,"Rickuss, Ian",Rickuss,Ian,LNP,2,13230
Lockyer,45,217,"Hanson, Pauline",Hanson,Pauline,ON,5,13116
Lockyer,45,998,Exhausted,Exhausted,Exhausted,EXH,998,4066
Logan,46,222,"Power, Linus",Power,Linus,ALP,4,15346
Logan,46,223,"Pucci, Michael",Pucci,Michael,LNP,5,9884
Logan,46,998,Exhausted,Exhausted,Exhausted,EXH,998,1544
Lytton,47,225,"Pease, Joan",Pease,Joan,ALP,1,16754
Lytton,47,226,"Symes, Neil",Symes,Neil,LNP,2,11265
Lytton,47,998,Exhausted,Exhausted,Exhausted,EXH,998,1302
Mackay,48,233,"Attard, Deon",Attard,Deon,LNP,4,8162
Mackay,48,234,"Gilbert, Julieanne",Gilbert,Julieanne,ALP,5,13542
Mackay,48,998,Exhausted,Exhausted,Exhausted,EXH,998,4184
Mansfield,49,236,"Obeid, Adam",Obeid,Adam,ALP,2,12829
Mansfield,49,237,"Walker, Ian",Walker,Ian,LNP,3,13113
Mansfield,49,998,Exhausted,Exhausted,Exhausted,EXH,998,878
Maroochydore,50,241,"Simpson, Fiona",Simpson,Fiona,LNP,3,16767
Maroochydore,50,242,"Gissane, Bill",Gissane,Bill,ALP,4,11523
Maroochydore,50,998,Exhausted,Exhausted,Exhausted,EXH,998,3214
Maryborough,51,244,"Maddern, Anne",Maddern,Anne,LNP,2,11910
Maryborough,51,249,"Saunders, Bruce",Saunders,Bruce,ALP,7,12723
Maryborough,51,998,Exhausted,Exhausted,Exhausted,EXH,998,7119
Mermaid Beach,52,251,"Pead, Gary",Pead,Gary,ALP,2,9647
Mermaid Beach,52,253,"Stevens, Ray",Stevens,Ray,LNP,4,16374
Mermaid Beach,52,998,Exhausted,Exhausted,Exhausted,EXH,998,3180
Mirani,53,255,"Kerslake, John",Kerslake,John,LNP,1,12534
Mirani,53,256,"Pearce, Jim",Pearce,Jim,ALP,2,15206
Mirani,53,998,Exhausted,Exhausted,Exhausted,EXH,998,3098
Moggill,54,260,"Pink, Louisa",Pink,Louisa,ALP,2,11778
Moggill,54,261,"Rowan, Christian",Rowan,Christian,LNP,3,16403
Moggill,54,998,Exhausted,Exhausted,Exhausted,EXH,998,1932
Morayfield,55,265,"Ryan, Mark",Ryan,Mark,ALP,2,17073
Morayfield,55,268,"Grimwade, Darren",Grimwade,Darren,LNP,5,10502
Morayfield,55,998,Exhausted,Exhausted,Exhausted,EXH,998,1948
Mount Coot-tha,56,271,"Rice, Saxon",Rice,Saxon,LNP,1,12550
Mount Coot-tha,56,273,"Miles, Steven",Miles,Steven,ALP,3,13920
Mount Coot-tha,56,998,Exhausted,Exhausted,Exhausted,EXH,998,1016
Mount Isa,57,275,"Katter, Rob",Katter,Rob,KAP,1,9304
Mount Isa,57,277,"Wharton, John",Wharton,John,LNP,3,4968
Mount Isa,57,998,Exhausted,Exhausted,Exhausted,EXH,998,1697
Mount Ommaney,58,280,"Smith, Tarnya",Smith,Tarnya,LNP,1,13902
